Label,PDB,Score
1, mini_complex_3O5N_PROTOSS_native_lig.pdb,5.98600577119
0, mini_complex_ZINC00627177_lig.pdb,5.99028183392
0, mini_complex_ZINC00625093_lig.pdb,5.96185841769
0, mini_complex_ZINC08438109_lig.pdb,5.97004638146
0, mini_complex_ZINC00627441_lig.pdb,5.95691409477
0, mini_complex_ZINC08438257_lig.pdb,6.00095690368
0, mini_complex_ZINC00645502_lig.pdb,5.95724347361
0, mini_complex_ZINC00666632_lig.pdb,5.97019974438
0, mini_complex_ZINC00728019_lig.pdb,6.03612858637
0, mini_complex_ZINC05918870_lig.pdb,5.96456938489
0, mini_complex_ZINC00630211_lig.pdb,5.97451560619
0, mini_complex_ZINC02171029_lig.pdb,5.95463783028
0, mini_complex_ZINC00792906_lig.pdb,5.95299674904
0, mini_complex_ZINC00857173_lig.pdb,5.97276458233
0, mini_complex_ZINC08437888_lig.pdb,5.95745417599
0, mini_complex_ZINC00907217_lig.pdb,5.96379880903
0, mini_complex_ZINC08435190_lig.pdb,6.00434530099
0, mini_complex_ZINC00857428_lig.pdb,5.98252548903
0, mini_complex_ZINC08434952_lig.pdb,5.95
0, mini_complex_ZINC02164323_lig.pdb,5.9850403917
0, mini_complex_ZINC08435617_lig.pdb,5.98626323146
0, mini_complex_ZINC02156245_lig.pdb,5.97185154722
0, mini_complex_ZINC08439932_lig.pdb,5.95
0, mini_complex_ZINC02061320_lig.pdb,5.97732181716
0, mini_complex_ZINC08439682_lig.pdb,5.95730320579
0, mini_complex_ZINC02062325_lig.pdb,6.00314775432
0, mini_complex_ZINC02163701_lig.pdb,5.98172683889
0, mini_complex_ZINC02263440_lig.pdb,5.96362544596
0, mini_complex_ZINC00702814_lig.pdb,5.96615566304
0, mini_complex_ZINC00881828_lig.pdb,5.95
0, mini_complex_ZINC02071405_lig.pdb,5.97373313195
0, mini_complex_ZINC08439179_lig.pdb,5.97540865769
0, mini_complex_ZINC00868854_lig.pdb,5.96295674914
0, mini_complex_ZINC00624720_lig.pdb,5.97367902637
0, mini_complex_ZINC02167569_lig.pdb,6.00173949142
0, mini_complex_ZINC00702388_lig.pdb,5.95
0, mini_complex_ZINC01018918_lig.pdb,5.99641420134
0, mini_complex_ZINC08435556_lig.pdb,5.95
0, mini_complex_ZINC08440018_lig.pdb,5.95
